create table Funcionario (
	matricula INT,
	nome VARCHAR(50)
);
insert into Funcionario (matricula, nome) values (1, 'Alexio Hulburt');
insert into Funcionario (matricula, nome) values (2, 'Mercie Ingledew');
insert into Funcionario (matricula, nome) values (3, 'Elroy Zanotti');
insert into Funcionario (matricula, nome) values (4, 'Karylin Agronski');
insert into Funcionario (matricula, nome) values (5, 'Sherwynd Petrashkov');
insert into Funcionario (matricula, nome) values (6, 'Norrie Bigg');
insert into Funcionario (matricula, nome) values (7, 'Janot Cracie');
insert into Funcionario (matricula, nome) values (8, 'Henryetta Marlon');
insert into Funcionario (matricula, nome) values (9, 'Prinz Snaden');
insert into Funcionario (matricula, nome) values (10, 'Tailor Worgen');

Alter Table  Funcionario Add Primary Key (matricula);



-- Produto


create table Produto (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-762', 'Suburban 1500', 'Chevrolet', 408.61, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('69-625', 'Thunderbird', 'Ford', 189.41, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('45-850', 'Q7', 'Audi', 238.68, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('50-568', 'Camaro', 'Chevrolet', 458.15, 'Lorem ipsum dolor sit amet', 'farol');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-576', 'Escort', 'Ford', 761.62, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('49-494', 'Suburban 1500', 'GMC', 896.81, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('92-524', 'Sentra', 'Nissan', 84.02, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('98-872', 'FX', 'Infiniti', 371.95, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('13-500', 'Touareg', 'Volkswagen', 576.92, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('10-698', 'Echo', 'Toyota', 416.6, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('77-215', 'Yukon XL 2500', 'GMC', 302.77, 'Lorem ipsum dolor sit amet', 'mola traseira');
alter table produto Add Primary Key (sku);



-- Estoque

create table Estoque (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('28-732', 'Golf', 'Volkswagen', 630.27, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('97-947', 'Insight', 'Honda', 466.73, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-616', '2500', 'GMC', 142.73, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('91-612', 'Liberty', 'Jeep', 575.93, 'Lorem ipsum dolor sit amet', 'farol');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('42-662', 'Legacy', 'Subaru', 274.59, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-737', 'B-Series', 'Mazda', 643.19, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('32-860', 'Fiesta', 'Ford', 755.04, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('62-615', '8 Series', 'BMW', 275.46, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('68-174', 'Fleetwood', 'Cadillac', 552.32, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('78-412', 'GTO', 'Pontiac', 219.09, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('71-025', 'Mazda6', 'Mazda', 81.07, 'Lorem ipsum dolor sit amet', 'mola traseira');
 Alter table Estoque add primary key (sku);



-- Cliente

create table Cliente (
	id VARCHAR(40),
	cpf VARCHAR(50),
	nome VARCHAR(50),
	data_nascimento DATE,
	data_cadastro DATE,
	sexo VARCHAR(50),
	numero INT,
	estado VARCHAR(19),
	municipio VARCHAR(5),
	logradouro VARCHAR(5),
	bairro VARCHAR(5)
);
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cc39e062-dc46-4c3f-a70e-d4576e59aae2', '67256048253', 'Domenico Warkup', '08/04/2000', '11/02/2022', 'F', 25, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e6d43db4-1271-4efb-9b31-c66bd799ebaa', '32394329057', 'Thaine MacCostye', '18/10/1968', '14/05/2021', 'F', 90, 'Rio Grande do Norte', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('75fbb115-f478-4f8d-9e1a-efac3985ec02', '46273728778', 'Maurita Clubb', '26/07/1967', '10/06/2020', 'M', 19, 'Bahia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2c9df01a-3e70-4b5a-ac92-82747332f279', '75411798580', 'Otha Roby', '10/02/2018', '09/03/2022', 'M', 88, 'Pernambuco', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c2ed398b-fe9c-4e89-a9d8-9673fbed31d1', '55663024458', 'Shayne Greson', '25/11/1986', '27/08/2020', 'M', 95, 'Sergipe', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e944fb9f-3042-42e0-889a-3eedb9206adb', '35485924730', 'Elsy Piddletown', '17/03/1944', '28/03/2021', 'M', 88, 'Rio de Janeiro', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('1def590f-64f9-4461-b3d8-3ae6e72002d6', '71279209742', 'Kennedy Mattersey', '28/04/2006', '25/02/2022', 'F', 25, 'Santa Catarina', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6bc0e6a7-6f3a-4f9c-925e-11734297fbe9', '30547398174', 'Starlene Yakovl', '26/01/1968', '11/09/2022', 'M', 21, 'Minas Gerais', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('f5638b19-0593-43ca-8dcd-a2d3429527a8', '43935562969', 'Dante Whytock', '16/05/1996', '06/09/2022', 'F', 86, 'Sergipe', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b4f61589-da13-4015-a74e-af38c50c23d8', '34629234006', 'Ruthie Missington', '10/06/1998', '20/02/2022', 'F', 36, 'Alagoas', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('bdbc751a-0a2b-4c29-966c-a0e9943826bf', '16337437866', 'Timmy Robilart', '04/09/1954', '15/05/2022', 'M', 41, 'Rio Grande do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('ffd4284d-072b-4c9d-8ff0-ce2bb4447e32', '07592395404', 'Nikolai Nayshe', '12/04/1952', '18/04/2022', 'M', 4, 'Sergipe', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a9dfa019-22a8-4217-8c1a-278e81485b2c', '73027701731', 'Morley Laverock', '30/03/1961', '17/01/2022', 'M', 91, 'Minas Gerais', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('38218562-020d-4d42-806e-ce1e96b37823', '95329313764', 'Rafaelita Oldland', '05/02/1974', '24/10/2020', 'M', 37, 'Roraima', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cdb21add-4e9b-44b1-9c71-f9abb4cd3ec4', '15077422885', 'Avie Rodder', '13/03/1953', '05/01/2021', 'F', 43, 'Rio Grande do Norte', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5916d7c0-7bd3-435e-9a23-c11a9f7136bf', '74133696593', 'Caitrin Putley', '16/02/2009', '23/08/2020', 'F', 94, 'Santa Catarina', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('34687085-1808-4a8a-86f8-e86a721b7054', '67529797594', 'Lamar Butlin', '27/08/1968', '15/01/2022', 'F', 13, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('f86d573c-1113-4878-b60e-868ce3bf9eec', '24060928276', 'Sinclare Sherwill', '16/10/1983', '13/11/2020', 'M', 78, 'Acre', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('9d887d56-b6ce-4984-bbe8-b0fd0bd75b5d', '58153930569', 'Francene Form', '07/04/1945', '19/08/2020', 'M', 10, 'Ceará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4f186cf2-c44b-4ea4-bd9d-7c6a22149735', '39447396828', 'Bowie Petrelluzzi', '18/02/2021', '22/02/2021', 'F', 48, 'Tocantins', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('9d1eeef9-10cf-4100-bde5-5806ab7e0566', '37047985297', 'Fleur Kelsall', '31/12/1997', '01/10/2021', 'M', 31, 'Rio Grande do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('08a95bbf-ed1c-4f88-845c-bcca61cc84d4', '84191370647', 'Bevan Shelp', '03/05/1988', '04/05/2022', 'M', 81, 'Paraíba', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4337dfd3-31d8-41d2-9747-7317d800baa1', '80741144447', 'Alia Patrie', '26/03/1952', '05/11/2020', 'F', 65, 'Acre', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4655beed-b27b-4a54-ad41-63161e88be07', '16087085577', 'Aliza Waterland', '05/07/1997', '06/03/2020', 'M', 22, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a47435cc-3e20-4d1a-8a0b-30e17a2773bd', '88975862275', 'Foss Sharply', '16/03/1940', '07/03/2022', 'M', 83, 'Tocantins', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('65f18b2d-f06f-436a-8592-39094eb49ce9', '98647481822', 'Chaddie Darrington', '30/08/1993', '02/10/2020', 'M', 24, 'Pernambuco', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7e3f2a8f-6c14-45bb-acf3-a7671e03904a', '18642054313', 'Melodie Graeser', '15/08/1945', '05/12/2020', 'M', 92, 'Amazonas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6df15368-d12e-41fe-aebd-8798dbfe4527', '60593064471', 'Matelda Toupe', '22/07/2001', '24/11/2020', 'M', 68, 'Amapá', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('1102c01b-b7a7-403a-93e3-ddf0b1f0b314', '66833853012', 'Wallace Jeandillou', '26/08/1982', '13/12/2021', 'M', 37, 'São Paulo', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e43750d1-3137-453c-81db-48af7d6e3820', '99954451449', 'Larina Conibear', '15/09/1995', '03/06/2021', 'M', 76, 'Espírito Santo', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('448fff05-355b-4d33-b001-8deddfde1cb0', '43670600878', 'Blinni Lippitt', '13/04/2002', '29/07/2020', 'F', 71, 'Mato Grosso do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b3ac8303-ed98-430a-8e02-0f7da5394e3f', '14666803357', 'Olivero Thornewell', '02/02/1978', '05/04/2022', 'M', 73, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('98baef41-7170-4da7-ab51-07a5d099a943', '51583272894', 'Magdalen Strethill', '08/08/1987', '18/02/2022', 'M', 81, 'Rio de Janeiro', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('9dd034b4-571d-4527-85f8-779a1e9aec5d', '56885433270', 'Dorise Derrington', '16/08/2012', '04/09/2021', 'M', 19, 'Ceará', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('27d205e7-7701-450f-bb5c-a930c37fda73', '54830658360', 'Priscella Atger', '02/05/1981', '22/11/2020', 'M', 98, 'Ceará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('72c3ab43-61f7-4e3d-b2fd-5428cd2100af', '56901291804', 'Gena Dundendale', '30/09/1977', '16/06/2022', 'F', 21, 'Rio Grande do Norte', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6727c2ca-84aa-4dae-8815-65715b3c3b47', '85386772081', 'Dudley Beaven', '21/08/1960', '12/10/2020', 'M', 65, 'São Paulo', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2baca9e6-f180-4995-81af-27763be72bf7', '80280387925', 'Annice Hoxey', '23/08/2010', '14/05/2020', 'M', 61, 'Rio Grande do Norte', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('85342c9c-26e6-4d31-a0a3-76483eb0ec2a', '55751985726', 'Gloria Geane', '06/04/1949', '07/05/2022', 'F', 93, 'Distrito Federal', 'ipsum', 'ipsum', 'ipsum');
